location_name,location_region,location_country,location_lat,location_lon,location_tz_id,location_localtime_epoch,location_localtime,forecast_date,forecast_date_epoch,forecast_maxtemp_c,forecast_maxtemp_f,forecast_mintemp_c,forecast_mintemp_f,forecast_avgtemp_c,forecast_avgtemp_f,forecast_maxwind_mph,forecast_maxwind_kph,forecast_totalprecip_mm,forecast_totalprecip_in,forecast_totalsnow_cm,forecast_avgvis_km,forecast_avgvis_miles,forecast_avghumidity,forecast_daily_will_it_rain,forecast_daily_chance_of_rain,forecast_daily_will_it_snow,forecast_daily_chance_of_snow,forecast_uv,forecast_sunrise,forecast_sunset,forecast_moonrise,forecast_moonset,forecast_moon_phase,forecast_moon_illumination,forecast_hour_time_epoch,forecast_hour_time,forecast_hour_temp_c,forecast_hour_temp_f,forecast_hour_is_day,forecast_hour_wind_mph,forecast_hour_wind_kph,forecast_hour_wind_degree,forecast_hour_wind_dir,forecast_hour_pressure_mb,forecast_hour_pressure_in,forecast_hour_precip_mm,forecast_hour_precip_in,forecast_hour_snow_cm,forecast_hour_humidity,forecast_hour_cloud,forecast_hour_feelslike_c,forecast_hour_feelslike_f,forecast_hour_windchill_c,forecast_hour_windchill_f,forecast_hour_heatindex_c,forecast_hour_heatindex_f,forecast_hour_dewpoint_c,forecast_hour_dewpoint_f,forecast_hour_will_it_rain,forecast_hour_chance_of_rain,forecast_hour_will_it_snow,forecast_hour_chance_of_snow,forecast_hour_vis_km,forecast_hour_vis_miles,forecast_hour_uv,forecast_condition_text,forecast_condition_icon,forecast_condition_code,forecast_hour_condition_text,forecast_hour_condition_icon,forecast_hour_condition_code
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734760800,2024-12-21 00:00,2.8,37.0,0,5.6,9.0,89,E,1031.0,30.46,0.0,0.0,0.0,58,0,1.0,33.8,1.0,33.8,2.8,37.0,-4.9,23.1,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734764400,2024-12-21 01:00,1.8,35.2,0,5.8,9.4,88,E,1031.0,30.45,0.0,0.0,0.0,60,0,-0.2,31.7,-0.2,31.7,1.8,35.2,-5.0,23.1,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734768000,2024-12-21 02:00,1.0,33.8,0,6.3,10.1,106,ESE,1031.0,30.45,0.0,0.0,0.0,65,0,-1.1,30.0,-1.1,30.0,1.0,33.8,-5.1,22.8,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734771600,2024-12-21 03:00,0.4,32.7,0,6.3,10.1,111,ESE,1031.0,30.45,0.0,0.0,0.0,67,0,-2.0,28.4,-2.0,28.4,0.4,32.7,-5.1,22.7,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734775200,2024-12-21 04:00,-0.2,31.7,0,6.5,10.4,111,ESE,1031.0,30.45,0.0,0.0,0.0,69,0,-2.5,27.5,-2.5,27.5,-0.2,31.7,-5.2,22.6,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734778800,2024-12-21 05:00,-0.5,31.0,0,6.7,10.8,114,ESE,1031.0,30.45,0.0,0.0,0.0,71,0,-2.8,27.0,-2.8,27.0,-0.5,31.0,-5.3,22.5,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734782400,2024-12-21 06:00,-0.8,30.5,0,6.7,10.8,113,ESE,1031.0,30.45,0.0,0.0,0.0,72,0,-3.0,26.6,-3.0,26.6,-0.8,30.5,-5.3,22.5,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734786000,2024-12-21 07:00,-0.1,31.8,0,7.2,11.5,126,SE,1031.0,30.46,0.0,0.0,0.0,73,0,-2.6,27.4,-2.6,27.4,-0.1,31.8,-5.3,22.4,0,0,0,0,10.0,6.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734789600,2024-12-21 08:00,0.7,33.3,1,7.4,11.9,133,SE,1031.0,30.46,0.0,0.0,0.0,65,0,-2.1,28.2,-2.1,28.2,0.7,33.3,-5.3,22.5,0,0,0,0,10.0,6.0,2.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
Denton,Texas,USA,33.1912,-97.1293,America/Chicago,1736805786,2025-01-13 16:03,2024-12-21,1734739200,12.8,55.1,-0.8,30.5,5.3,41.5,11.9,19.1,0.0,0.0,0.0,10.0,6.0,56,0,0,0,0,4.0,07:29 AM,05:26 PM,11:53 PM,11:57 AM,Waning Gibbous,66,1734793200,2024-12-21 09:00,1.6,34.8,1,7.4,11.9,132,SE,1032.0,30.46,0.0,0.0,0.0,61,0,-1.6,29.1,-1.6,29.1,1.6,34.8,-5.3,22.5,0,0,0,0,10.0,6.0,2.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
